Data Model,CKAN,DKAN,POD,DCAT,VoID,Schema.org,Socrata
Dataset,,,,,,,
General Information,id,id,identifier,dcat:Dataset->dct:identifier,,,id/externalId
,private,private,accessLevel,,,,privateMetadata
,state,state,,,,,publicationStage
,type,type,,,,Thing:additionalType,
,name,name,,,,Thing:name,name
,isopen,,,,,,
,notes,notes,description,dcat:Dataset->dct:description,void:Dataset->dct:description,Thing:description,description
,title,title,title,dcat:Dataset->dct:title,void:Dataset->dc:title,Thing:name,name
,num_resources,,,,void:Dataset->void:documents,,
,num_tags,,,,,,
,,,conformsTo,dcat:Dataset->dct:conformsTo,void:Dataset->dct:conformsTo,,
,,,language,dcat:Dataset->dct:language,void:Dataset->dct:language,CreativeWork:inLanguage,
,,,accuralPeriodicity,dcat:Dataset->dct:accuralPeriodicity,void:Dataset->dct:accuralPeriodicity,,
access information,license_title,license_title,license,dcat:Distribution->dct:license,void:Dataset->dct:license,,license -> name
,license_id,,,,,,licenseId
,license_url,,,,,CreativeWork:license,license -> termsLink
,url,url,landingPage,dcat:Dataset->dcat:landingPage,,Thing:url,
,,,rights,dcat:Distribution->dct:rights,void:Dataset->dct:rights,,
,attribution_text,,,,,,attribution
,,,,,,,attributionLink
provenance,version,,,,,CreativeWork:version,
,revision_id,,,,,,
,metadata_created,metadata_created,,dcat:Distribution->dct:created,void:Dataset->dct:created,CreativeWork:dateCreated,
,metadata_modified,metadata_modified,modified,dcat:Distribution->dct:modified,void:Dataset->dct:modified,CreativeWork:dateModified,
,revision_timestamp,revision_timestamp,,,,,
,,,issued,dcat:Distribution->dct:issued,void:Dataset->dct:issued,CreativeWork:datePublished,
,,,temporal,dcat:Dataset->dct:temporal,void:Dataset->dct:temporal,Dataset:temporal,
ownership,maintainer,maintainer,contactPoint->fn,dcat:Dataset->dcat:contactPoint->vcard:fn,,CreativeWork:producer->Thing:name,owner->displayName / owner->ScreenName
,maintainer_email,maintainer_email,contactPoint->hasEmail,dcat:Dataset->dcat:contactPoint->vcard:hasEmail,,CreativeWork:producer->Person:email,
,owner_org,,,,,CreativeWork:sourceOrganization:LegalName,
,author,,,dcat:Dataset->dct:creator->foaf:Person:givenName,void:Dataset->dct:creator->foaf:Person:givenName,CreativeWork:author->Thing:name,
,author_email,author_email,,dcat:Dataset->dct:creator->foaf:Person:mbox,void:Dataset->dct:creator->foaf:Person:mbox,CreativeWork:author->Person:email,
,,,bureauCode,,,,
,,,programCode,,,,
,description,,,,,CreativeWork:sourceOrganization->Thing:description,
,,,isPartOf,,,CreativeWork:isPartOf,
,,,,,,CreativeWork:hasPart,
,,,systemOfRecords,,,,
,,,primaryITInvestmentUI,,,,
,,,describedBy,,,,
,,,describedByType,,,,
GeoSpatial,spatial-text,,spatial,dcat:Dataset->dct:spatial,void:Dataset->dct:spatial,Dataset:spatial,
,geographical_granularity,,,,,,
,,,,,,,bbox
,,,,,,,layers
,,,,,,,bboxCrs
,,,,,,,namespace
Temporal,,,temporal,dcat:Dataset->dct:temporal,void:Dataset->dct:temporal,Dataset:temporal,
,temporal_granularity,,,,,,
,temporal_coverage_to,,,,,,
,temporal_coverage_from,,,,,,
Quality,ratings_average,,dataQuality,,,CreativeWork:aggregateRating,
organization,,,,,,,
General Information,title,,name,dcat:Dataset->dct:creator->foaf:Organization:givenName,void:Dataset->dct:creator->foaf:Organization:givenName,CreativeWork:sourceOrganization:LegalName,
,description,,,,,CreativeWork:sourceOrganization->Thing:description,
,id,,,,,,
,type,,,,,CreativeWork:sourceOrganization->Thing:additionalType,
,name,,,,,CreativeWork:sourceOrganization->Thing:name,
,image_url,,,,,,
,state,,,,,,
,is_organization,,,,,,
,approval_status,,,,,,
,,,subOrganizationOf,,,CreativeWork:sourceOrganization:subOrganization,
provenance,revision_timestamp,,,,,,
,revision_id,,,,,,
Resources,,,,,,,
general,resource_group_id,resource_group_id,,,,,
,id,id,,,,,blobId
,size,size,,dcat:Distribution->dcat:byteSize,,Dataset:distribution->DataDownload->MediaObject:contentSize,
,state,state,,,,,
,hash,,,,,,
,description,description,description,dcat:Distribution->dct:description,,Dataset:distribution->DataDownload>Thing:description,
,format,format,format,dcat:Distribution->dct:format,void:Dataset->dct:format,Dataset:distribution->DataDownload->MediaObject:encodingFormat,
,mimetype,mimetype,mediaType,dcat:Distribution->dcat:mediaType,,,
,mimetype_inner,,,,,,
,name,name,title,dcat:Distribution->dct:title,,Dataset:distribution->DataDownload>Thing:name,filename / name
,position,,,,,,
,resource_type,,,,,Dataset:distribution->DataDownload>Thing:additionalType,
,,,describedBy,,,,
,,,describedByType,,,,
,,,conformsTo,,,,
access information,cache_url,,,,,,
,url-type,,,,,,
,url,url,downloadURL,dcat:Distribution->dcat:downloadURL,void:Dataset->void:dataDump,Dataset:distribution->DataDownload->Thing:url,
,,,accessURL,dcat:Distribution->dcat:accessURL,,Dataset:distribution->DataDownload->MediaObject:contentUrl,accessPoints
,webstore_url,,,,,,
provenance,cache_last_updated,,,,,,
,revision_timestamp,revision_timestamp,,,,,
,webstore_last_updated,,,,,,
,created,created,,,,Dataset:distribution->DataDownload->CreativeWork:dataCreated,created_at
,last_modified,last_modified,,,,Dataset:distribution->DataDownload->CreativeWork:dataModified,updated_at
,revision_id,revision_id,,,,,
Groups,,,,,,,
General,display_name,display_name,,,,,
,description,description,,,,,
,title,title,,,,,
,image_display_url,image_display_url,,,,,
,id,id,,,,,
,name,name,,,,,
,subgroups,,,,,,
Tags,,,,,,,
General,vocabulary_id,vocabulary_id,,dcat:Dataset->dcat:theme->skos:ConceptScheme,,,
,display_name,,,dcat:Dataset->dcat:keyword,,,
,name,name,,dcat:Dataset->->dcat:theme->skos:Concept,,,
,state,,,,,,
,id,id,,,,,
Provenance,revision_timestamp,,,,,,
